Method_Call_No,Suspiciousness,Ranking
1,1.2413793103448276,3
2,1.3846153846153846,2
3,0.5925925925925926,6
4,0.1111111111111111,12
5,0.0,16
6,0.0,16
7,8.0,1
8,1.2413793103448276,3
9,0.2,9
10,0.5925925925925926,6
11,0.0,16
12,1.2413793103448276,3
13,0.0,16
14,0.32142857142857145,8
15,0.0,16
16,1.2413793103448276,3
17,0.0,16
18,0.2,9
19,1.0,5
20,0.0,16
21,0.0,16
22,0.0,16
23,0.0,16
24,1.1612903225806452,4
25,0.14285714285714285,11
26,0.03571428571428571,14
27,0.03571428571428571,14
28,0.0,16
29,0.14285714285714285,11
30,0.0,16
31,0.07142857142857142,13
32,0.14285714285714285,11
33,0.0,16
34,0.5714285714285714,7
35,0.030303030303030304,15
36,1.2413793103448276,3
37,0.2,9
38,0.16666666666666666,10
39,0.2,9
40,0.2,9
41,1.0,5
42,0.0,16
43,0.0,16
44,0.0,16
