Method_Call_No,Suspiciousness,Ranking
1,0.0,167
2,0.0,167
3,0.0,167
4,0.0,167
5,0.0,167
6,0.0022123893805309734,162
7,0.0026666666666666666,112
8,0.0026246719160104987,115
9,0.0,167
10,0.0,167
11,0.0,167
12,0.0,167
13,0.0,167
14,0.0,167
15,0.0,167
16,0.0,167
17,0.0,167
18,0.01282051282051282,10
19,0.0,167
20,0.0,167
21,0.0,167
22,0.0022123893805309734,162
23,0.0,167
24,0.0,167
25,0.0022123893805309734,162
26,0.0,167
27,0.002364066193853428,142
28,0.0022123893805309734,162
29,0.0022624434389140274,153
30,0.0022123893805309734,162
31,0.0031446540880503146,87
32,0.002824858757062147,106
33,0.0,167
34,0.0,167
35,0.0,167
36,0.0022123893805309734,162
37,0.0,167
38,0.0,167
39,0.0,167
40,0.0,167
41,0.0,167
42,0.003367003367003367,77
43,0.004310344827586207,56
44,0.0,167
45,0.0022123893805309734,162
46,0.0022172949002217295,161
47,0.0022123893805309734,162
48,0.0022123893805309734,162
49,0.0022123893805309734,162
50,0.002336448598130841,145
51,0.002325581395348837,147
52,0.0,167
53,0.0022123893805309734,162
54,0.0022123893805309734,162
55,0.0022123893805309734,162
56,0.0022123893805309734,162
57,0.0022123893805309734,162
58,0.01282051282051282,10
59,0.0,167
60,0.0,167
61,0.0,167
62,0.0,167
63,0.01282051282051282,10
64,0.012658227848101266,11
65,0.012658227848101266,11
66,0.01282051282051282,10
67,0.01282051282051282,10
68,0.01282051282051282,10
69,0.01282051282051282,10
70,0.0022123893805309734,162
71,0.0,167
72,0.0022123893805309734,162
73,0.0022123893805309734,162
74,0.0022123893805309734,162
75,0.0022123893805309734,162
76,0.0,167
77,0.0,167
78,0.0,167
79,0.0022172949002217295,161
80,0.0022123893805309734,162
81,0.0,167
82,0.0,167
83,0.0022123893805309734,162
84,0.0022172949002217295,161
85,0.0,167
86,0.0,167
87,0.0022123893805309734,162
88,0.0022172949002217295,161
89,0.0022123893805309734,162
90,0.0,167
91,0.0,167
92,0.0,167
93,0.0022123893805309734,162
94,0.0,167
95,0.0,167
96,0.002364066193853428,142
97,0.002421307506053269,135
98,0.0022172949002217295,161
99,0.005076142131979695,42
100,0.002564102564102564,122
101,0.002564102564102564,122
102,0.0,167
103,0.005813953488372093,31
104,0.0,167
105,0.0,167
106,0.0025575447570332483,123
107,0.0,167
108,0.0,167
109,0.0,167
110,0.004273504273504274,57
111,0.0,167
112,0.0,167
113,0.0,167
114,0.0,167
115,0.004901960784313725,49
116,0.0049504950495049506,47
117,0.003937007874015748,61
118,0.0,167
119,0.0,167
120,0.0,167
121,0.0,167
122,0.0,167
123,0.0,167
124,0.0,167
125,0.0,167
126,0.003076923076923077,93
127,0.0022172949002217295,161
128,0.0022123893805309734,162
129,0.0,167
130,0.0,167
131,0.0049504950495049506,47
132,0.003076923076923077,93
133,0.0,167
134,0.003076923076923077,93
135,0.0,167
136,0.0022123893805309734,162
137,0.0,167
138,0.0,167
139,0.0,167
140,0.0,167
141,0.0,167
142,0.0,167
143,0.0,167
144,0.0,167
145,0.005917159763313609,29
146,0.0,167
147,0.005917159763313609,29
148,0.005917159763313609,29
149,0.0,167
150,0.0,167
151,0.0,167
152,0.005917159763313609,29
153,0.0,167
154,0.0,167
155,0.0,167
156,0.0,167
157,0.0,167
158,0.00228310502283105,151
159,0.0,167
160,0.0022172949002217295,161
161,0.0,167
162,0.0025188916876574307,127
163,0.003472222222222222,71
164,0.0025575447570332483,123
165,0.00411522633744856,58
166,0.0024691358024691358,129
167,0.0,167
168,0.0,167
169,0.0,167
170,0.0,167
171,0.0,167
172,0.0,167
173,0.0024937655860349127,128
174,0.002288329519450801,150
175,0.0,167
176,0.003115264797507788,89
177,0.0022172949002217295,161
178,0.0,167
179,0.003663003663003663,66
180,0.0023094688221709007,149
181,0.0,167
182,0.0,167
183,0.0,167
184,0.0,167
185,0.0,167
186,0.002403846153846154,138
187,0.0,167
188,0.0022123893805309734,162
189,0.0,167
190,0.0,167
191,0.0,167
192,0.0,167
193,0.0,167
194,0.0022172949002217295,161
195,0.0,167
196,0.0023752969121140144,141
197,0.0,167
198,0.0,167
199,0.0022123893805309734,162
200,0.0,167
201,0.0024630541871921183,130
202,0.002398081534772182,139
203,0.0,167
204,0.004807692307692308,51
205,0.0,167
206,0.0,167
207,0.004098360655737705,59
208,0.0,167
209,0.0022624434389140274,153
210,0.0,167
211,0.0,167
212,0.0,167
213,0.0022123893805309734,162
214,0.0,167
215,0.002257336343115124,154
216,0.0,167
217,0.002638522427440633,114
218,0.0,167
219,0.0,167
220,0.0022123893805309734,162
221,0.0022123893805309734,162
222,0.0022123893805309734,162
223,0.0,167
224,0.01282051282051282,10
225,0.0,167
226,0.0,167
227,0.003076923076923077,93
228,0.003076923076923077,93
229,0.003076923076923077,93
230,0.0,167
231,0.0,167
232,0.0,167
233,0.0,167
234,0.003076923076923077,93
235,0.003076923076923077,93
236,0.003076923076923077,93
237,0.003076923076923077,93
238,0.0,167
239,0.0,167
240,0.0,167
241,0.0,167
242,0.0,167
243,0.0,167
244,0.0,167
245,0.0,167
246,0.0,167
247,0.0,167
248,0.0,167
249,0.0,167
250,0.0,167
251,0.0,167
252,0.0,167
253,0.003076923076923077,93
254,0.003076923076923077,93
255,0.0,167
256,0.003076923076923077,93
257,0.0,167
258,0.0,167
259,0.003076923076923077,93
260,0.0,167
261,0.003076923076923077,93
262,0.003076923076923077,93
263,0.0,167
264,0.0,167
265,0.0,167
266,0.0,167
267,0.0,167
268,0.0,167
269,0.003076923076923077,93
270,0.003076923076923077,93
271,0.003076923076923077,93
272,0.003076923076923077,93
273,0.0,167
274,0.0,167
275,0.0,167
276,0.0,167
277,0.003076923076923077,93
278,0.003076923076923077,93
279,0.003076923076923077,93
280,0.0,167
281,0.0,167
282,0.0,167
283,0.003076923076923077,93
