Method_Call_No,Suspiciousness,Ranking
1,0.0,11
2,0.0,11
3,0.0,11
4,0.0,11
5,0.0,11
6,0.0,11
7,0.0,11
8,0.0,11
9,0.0,11
10,0.0,11
11,0.0,11
12,0.0,11
13,0.0,11
14,0.0,11
15,0.0,11
16,0.0,11
17,0.0,11
18,0.0,11
19,0.0,11
20,0.0,11
21,0.0,11
22,0.0,11
23,0.0,11
24,0.0,11
25,0.0,11
26,0.0,11
27,0.0,11
28,0.0,11
29,0.0,11
30,0.0,11
31,0.0,11
32,0.0,11
33,0.0,11
34,0.0,11
35,0.0,11
36,0.0,11
37,0.0,11
38,0.0,11
39,0.0,11
40,0.0,11
41,0.0,11
42,0.0,11
43,0.0,11
44,0.0,11
45,0.0,11
46,0.0,11
47,0.0,11
48,0.0,11
49,0.0,11
50,0.0,11
51,0.0,11
52,0.0,11
53,0.0,11
54,0.0,11
55,0.0,11
56,0.0,11
57,0.0,11
58,0.0,11
59,0.0,11
60,0.0,11
61,0.0,11
62,0.0,11
63,0.0,11
64,0.0,11
65,0.0,11
66,0.0,11
67,0.0,11
68,0.0,11
69,0.0,11
70,0.0,11
71,0.0,11
72,0.0,11
73,0.0,11
74,0.0,11
75,0.0,11
76,0.0,11
77,0.0,11
78,0.0,11
79,0.0,11
80,0.0,11
81,0.0,11
82,0.2,2
83,0.25,1
84,0.0,11
85,0.041666666666666664,6
86,0.0,11
87,0.0,11
88,0.0,11
89,0.03225806451612903,8
90,0.08333333333333333,4
91,0.03225806451612903,8
92,0.030303030303030304,9
93,0.0,11
94,0.0,11
95,0.030303030303030304,9
96,0.0,11
97,0.02857142857142857,10
98,0.0,11
99,0.0,11
100,0.02857142857142857,10
101,0.02857142857142857,10
102,0.0,11
103,0.037037037037037035,7
104,0.037037037037037035,7
105,0.037037037037037035,7
106,0.02857142857142857,10
107,0.02857142857142857,10
108,0.02857142857142857,10
109,0.047619047619047616,5
110,0.0,11
111,0.0,11
112,0.0,11
113,0.0,11
114,0.0,11
115,0.03225806451612903,8
116,0.02857142857142857,10
117,0.125,3
118,0.0,11
119,0.0,11
120,0.0,11
121,0.2,2
122,0.25,1
123,0.0,11
124,0.0,11
125,0.0,11
126,0.0,11
127,0.0,11
128,0.0,11
129,0.0,11
130,0.0,11
131,0.03225806451612903,8
132,0.0,11
133,0.03225806451612903,8
134,0.0,11
135,0.03225806451612903,8
136,0.0,11
137,0.0,11
138,0.0,11
139,0.0,11
140,0.0,11
141,0.0,11
142,0.0,11
143,0.0,11
144,0.0,11
145,0.0,11
146,0.0,11
147,0.0,11
148,0.0,11
149,0.0,11
150,0.0,11
151,0.0,11
152,0.0,11
153,0.0,11
154,0.0,11
155,0.0,11
156,0.0,11
157,0.0,11
158,0.0,11
159,0.0,11
160,0.0,11
161,0.0,11
162,0.0,11
163,0.0,11
164,0.0,11
165,0.0,11
166,0.0,11
167,0.0,11
168,0.0,11
169,0.0,11
170,0.0,11
171,0.0,11
172,0.0,11
173,0.0,11
174,0.0,11
175,0.0,11
176,0.0,11
177,0.0,11
178,0.0,11
179,0.0,11
180,0.0,11
181,0.0,11
182,0.0,11
183,0.0,11
184,0.0,11
185,0.0,11
186,0.0,11
187,0.0,11
188,0.0,11
189,0.0,11
190,0.0,11
191,0.0,11
192,0.0,11
193,0.0,11
194,0.0,11
195,0.0,11
196,0.0,11
197,0.0,11
198,0.0,11
199,0.0,11
200,0.0,11
201,0.0,11
202,0.0,11
203,0.0,11
204,0.0,11
205,0.0,11
206,0.0,11
207,0.0,11
208,0.0,11
209,0.0,11
210,0.0,11
211,0.0,11
212,0.0,11
213,0.0,11
214,0.0,11
215,0.0,11
216,0.0,11
217,0.0,11
218,0.0,11
219,0.0,11
220,0.0,11
221,0.0,11
222,0.0,11
223,0.0,11
224,0.02857142857142857,10
225,0.0,11
226,0.0,11
227,0.0,11
228,0.0,11
229,0.0,11
230,0.0,11
231,0.0,11
232,0.0,11
233,0.0,11
234,0.0,11
235,0.0,11
236,0.0,11
237,0.0,11
238,0.0,11
239,0.0,11
240,0.0,11
241,0.0,11
242,0.0,11
243,0.0,11
244,0.0,11
245,0.0,11
246,0.0,11
247,0.0,11
248,0.0,11
249,0.2,2
250,0.2,2
251,0.2,2
252,0.2,2
253,0.2,2
254,0.2,2
255,0.2,2
256,0.2,2
257,0.0,11
258,0.0,11
259,0.0,11
260,0.0,11
261,0.0,11
262,0.2,2
263,0.2,2
264,0.2,2
265,0.2,2
266,0.0,11
267,0.0,11
268,0.0,11
269,0.0,11
270,0.0,11
271,0.0,11
272,0.0,11
273,0.0,11
274,0.0,11
275,0.0,11
276,0.0,11
277,0.0,11
278,0.0,11
279,0.0,11
280,0.0,11
281,0.0,11
282,0.0,11
283,0.0,11
284,0.0,11
285,0.0,11
286,0.037037037037037035,7
287,0.0,11
288,0.0,11
289,0.0,11
290,0.0,11
291,0.0,11
292,0.0,11
293,0.0,11
294,0.0,11
295,0.0,11
296,0.0,11
297,0.0,11
298,0.0,11
299,0.0,11
300,0.0,11
301,0.0,11
302,0.0,11
303,0.0,11
304,0.0,11
305,0.037037037037037035,7
306,0.0,11
307,0.0,11
308,0.0,11
309,0.0,11
310,0.0,11
311,0.0,11
312,0.02857142857142857,10
313,0.02857142857142857,10
314,0.0,11
315,0.0,11
316,0.0,11
317,0.02857142857142857,10
318,0.02857142857142857,10
