Method_Call_No,Suspiciousness,Ranking
1,0.0625,5
2,0.0,6
3,0.0,6
4,0.0625,5
5,0.0,6
6,0.0,6
7,0.0625,5
8,0.0,6
9,0.0625,5
10,0.0625,5
11,0.0625,5
12,0.0625,5
13,0.0625,5
14,0.0,6
15,0.0,6
16,0.0625,5
17,0.0625,5
18,0.0,6
19,0.0,6
20,0.0,6
21,0.0,6
22,0.0,6
23,0.0625,5
24,0.0,6
25,0.0625,5
26,0.0625,5
27,0.0,6
28,0.0625,5
29,0.0,6
30,0.0625,5
31,0.0,6
32,0.0,6
33,0.0,6
34,0.0625,5
35,0.0,6
36,0.0625,5
37,0.0,6
38,0.0,6
39,0.0,6
40,0.0625,5
41,0.0,6
42,0.0625,5
43,0.0,6
44,0.0,6
45,0.0,6
46,0.0,6
47,0.0,6
48,0.0,6
49,0.0,6
50,0.0,6
51,0.0,6
52,0.0,6
53,0.0,6
54,0.0,6
55,0.0,6
56,0.0,6
57,0.0625,5
58,0.0625,5
59,0.0,6
60,0.0625,5
61,0.0,6
62,0.0,6
63,0.0,6
64,0.0,6
65,0.0,6
66,0.0625,5
67,0.0625,5
68,0.0625,5
69,0.0,6
70,0.0,6
71,0.0625,5
72,0.0,6
73,0.0,6
74,0.0625,5
75,0.0625,5
76,0.0625,5
77,0.0625,5
78,0.0625,5
79,0.0625,5
80,0.0625,5
81,0.0,6
82,0.0625,5
83,0.0625,5
84,0.0625,5
85,0.0,6
86,0.0625,5
87,0.0625,5
88,0.0625,5
89,0.0,6
90,0.0,6
91,0.0,6
92,0.0625,5
93,0.0,6
94,0.0625,5
95,0.0,6
96,0.0,6
97,0.0,6
98,0.0,6
99,0.0,6
100,0.0,6
101,0.0,6
102,0.0,6
103,0.0,6
104,0.0,6
105,0.0,6
106,0.0,6
107,0.0,6
108,0.0,6
109,0.0,6
110,0.0,6
111,0.0,6
112,0.0,6
113,0.0,6
114,0.0,6
115,0.0,6
116,0.0,6
117,0.0,6
118,0.0625,5
119,0.0,6
120,0.0625,5
121,0.0,6
122,0.0,6
123,0.0,6
124,0.0625,5
125,0.0625,5
126,0.0625,5
127,0.0,6
128,0.0625,5
129,0.0,6
130,0.0,6
131,0.0,6
132,0.0,6
133,0.0,6
134,0.0,6
135,0.1,4
136,0.1,4
137,0.5,2
138,1.0,1
139,0.0,6
140,0.3333333333333333,3
141,0.0,6
142,0.0,6
143,0.0,6
144,0.0,6
145,0.0,6
146,0.0,6
147,0.0,6
148,0.0,6
149,0.0,6
150,0.0,6
151,0.0,6
152,0.0,6
153,0.0,6
154,0.0,6
155,0.0,6
156,0.0,6
157,0.0,6
158,0.0,6
159,0.0,6
160,0.0625,5
161,0.0625,5
162,0.0,6
163,0.0,6
164,0.0,6
165,0.0625,5
166,0.0,6
167,0.0,6
168,0.0625,5
169,0.0625,5
170,0.0,6
171,0.0,6
172,0.0,6
173,0.0,6
174,0.0,6
175,0.0,6
176,0.0,6
177,0.0,6
178,0.0,6
179,0.0,6
180,0.0,6
181,0.0,6
182,0.0,6
183,0.0,6
184,0.0625,5
185,0.0,6
186,0.0625,5
187,0.0,6
188,0.0625,5
189,0.0625,5
190,0.0625,5
191,0.0625,5
192,0.0,6
193,0.0,6
194,0.0,6
195,0.0,6
196,0.0,6
197,0.0,6
198,0.0,6
199,0.0,6
200,0.0,6
201,0.0,6
202,0.0625,5
203,0.0,6
204,0.0,6
205,0.0625,5
206,0.0625,5
207,0.0,6
208,0.0,6
209,0.0625,5
210,0.0625,5
211,0.0,6
212,0.0,6
213,0.0,6
214,0.0,6
215,0.0,6
216,0.0,6
217,0.0,6
218,0.0,6
219,0.0,6
220,0.0,6
221,0.0,6
222,0.0,6
223,0.0,6
224,0.0,6
225,0.0,6
226,0.0,6
227,0.0,6
228,0.0,6
229,0.0,6
230,0.0,6
231,0.0,6
232,0.0,6
233,0.0,6
234,0.0,6
235,0.0,6
236,0.0,6
237,0.0,6
238,0.0,6
239,0.0,6
240,0.0,6
241,0.0,6
242,0.0,6
243,0.0,6
244,0.0,6
245,0.0,6
246,0.0,6
247,0.0,6
248,0.0,6
249,0.0,6
