Method_Call_No,Suspiciousness,Ranking
1,0.0,16
2,0.0,16
3,0.0,16
4,0.0125,15
5,0.0125,15
6,0.0125,15
7,0.0,16
8,0.0125,15
9,0.05,2
10,0.03333333333333333,6
11,0.0,16
12,0.0125,15
13,0.0,16
14,0.0,16
15,0.0,16
16,0.0,16
17,0.0,16
18,0.0,16
19,0.03571428571428571,4
20,0.034482758620689655,5
21,0.017543859649122806,14
22,0.0,16
23,0.0,16
24,0.0,16
25,0.0,16
26,0.0,16
27,0.0,16
28,0.0,16
29,0.0,16
30,0.0,16
31,0.0,16
32,0.0,16
33,0.0,16
34,0.0,16
35,0.0,16
36,0.0,16
37,0.0,16
38,0.0,16
39,0.0125,15
40,0.0125,15
41,0.0,16
42,0.0,16
43,0.0,16
44,0.0,16
45,0.0,16
46,0.0125,15
47,0.0125,15
48,0.0,16
49,0.017543859649122806,14
50,0.0125,15
51,0.034482758620689655,5
52,0.0,16
53,0.0,16
54,0.0,16
55,0.0,16
56,0.0,16
57,0.01818181818181818,13
58,0.0,16
59,0.0,16
60,0.01818181818181818,13
61,0.0125,15
62,0.017543859649122806,14
63,0.0,16
64,0.0,16
65,0.0,16
66,0.02631578947368421,8
67,0.0,16
68,0.0,16
69,0.0,16
70,0.0,16
71,0.0,16
72,0.0,16
73,0.0,16
74,0.0,16
75,0.0,16
76,0.02040816326530612,11
77,0.0,16
78,0.02127659574468085,10
79,0.0,16
80,0.05555555555555555,1
81,0.02,12
82,0.0,16
83,0.0,16
84,0.0,16
85,0.0,16
86,0.0,16
87,0.0,16
88,0.0,16
89,0.0,16
90,0.0,16
91,0.0,16
92,0.0,16
93,0.0,16
94,0.0,16
95,0.0,16
96,0.0125,15
97,0.029411764705882353,7
98,0.038461538461538464,3
99,0.038461538461538464,3
100,0.017543859649122806,14
101,0.0,16
102,0.0,16
103,0.0,16
104,0.025,9
105,0.0,16
106,0.025,9
107,0.017543859649122806,14
108,0.017543859649122806,14
109,0.0,16
110,0.0,16
111,0.0,16
112,0.0,16
113,0.0,16
